date,year,location,work,concert_composers,instrument,performers
1995-01-08,1995,"Musikverein, Vienna, Austria","Konzert für Violine in E-Dur, BWV 1042, Adagio",Ludwig van Beethoven;Joseph Haydn;Johann Sebastian Bach;Wolfgang Amadeus Mozart;Franz Schubert;Ludwig van Beethoven;,violin,Riccardo Muti;Herbert Lippert;Daniel Gaede;
1995-01-27,1995,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Riccardo Muti;Maxim Vengerov;
1995-10-07,1995,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 4, d-Moll",Niccolò Paganini;Robert Schumann;,violin,Riccardo Muti;Gidon Kremer;
1995-10-08,1995,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 4, d-Moll",Niccolò Paganini;Robert Schumann;,violin,Riccardo Muti;Gidon Kremer;
1996-08-18,1996,"Large Festival Hall, Salzburg, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Maurice Ravel;,violin,Lorin Maazel;Frank Peter Zimmermann;None;
1996-08-19,1996,"Large Festival Hall, Salzburg, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Maurice Ravel;,violin,Lorin Maazel;Frank Peter Zimmermann;
1996-10-03,1996,"Suntory Hall, Tokyo, Japan","Concerto for Violin in D Major, op. 77",Ludwig van Beethoven;Johannes Brahms;Richard Wagner;Richard Wagner;,violin,Zubin Mehta;Midori;
1996-10-05,1996,"Festival Hall, Osaka, Japan","Concerto for Violin in D Major, op. 77",Ludwig van Beethoven;Johannes Brahms;Richard Wagner;Richard Wagner;,violin,Zubin Mehta;Midori;
1996-10-09,1996,"Beijing Century Theater (世纪剧院), Beijing, China","Concerto for Violin in D Major, op. 77",Ludwig van Beethoven;Johannes Brahms;Richard Wagner;Richard Wagner;,violin,Zubin Mehta;Midori;
1996-10-13,1996,"Sejong Center for the Performing Arts, Seoul, Republic of Korea","Concerto for Violin in E minor, op. 64",Ludwig van Beethoven;Felix Mendelssohn-Bartholdy;Richard Wagner;Richard Wagner;,violin,Zubin Mehta;Sarah Chang;
1996-12-07,1996,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D minor, op. 47",Richard Strauss;Jean Sibelius;Béla Bartók;,violin,Zubin Mehta;Maxim Vengerov;
1996-12-08,1996,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D minor, op. 47",Richard Strauss;Jean Sibelius;Béla Bartók;,violin,Zubin Mehta;Maxim Vengerov;
1997-04-25,1997,"Musikhalle Hamburg, ","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Hector Berlioz;,violin,Sir Simon Rattle;Franz Bartolomey;Rainer Küchl;
1997-05-29,1997,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Alban Berg;Franz Schubert;,violin,Nikolaus Harnoncourt;Gidon Kremer;
1997-05-31,1997,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Alban Berg;Franz Schubert;,violin,Nikolaus Harnoncourt;Gidon Kremer;
1997-06-01,1997,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Alban Berg;Franz Schubert;,violin,Nikolaus Harnoncourt;Gidon Kremer;
1997-08-27,1997,"Large Festival Hall, Salzburg, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Alban Berg;Franz Schubert;,violin,Roger Arthur Carver Norrington;Christian Tetzlaff;
1997-08-30,1997,"Large Festival Hall, Salzburg, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Alban Berg;Franz Schubert;,violin,Roger Arthur Carver Norrington;Christian Tetzlaff;
1997-11-29,1997,"Musikverein, Vienna, Austria","Konzert für Violoncello Nr.1 in Es-Dur, op. 107",Dmitri Schostakowitsch;Peter Iljitsch Tschaikowsky;Antonín Dvořák;,cello,Mstislaw Rostropowitsch;Seiji Ozawa;Mstislaw Rostropowitsch;
1997-11-29,1997,"Musikverein, Vienna, Austria","Konzert für Violoncello in h-Moll, op. 104",Dmitri Schostakowitsch;Peter Iljitsch Tschaikowsky;Antonín Dvořák;,cello,Mstislaw Rostropowitsch;Seiji Ozawa;Mstislaw Rostropowitsch;
1997-11-30,1997,"Musikverein, Vienna, Austria","Konzert für Violoncello Nr.1 in Es-Dur, op. 107",Dmitri Schostakowitsch;Peter Iljitsch Tschaikowsky;Antonín Dvořák;,cello,Seiji Ozawa;Mstislaw Rostropowitsch;
1997-11-30,1997,"Musikverein, Vienna, Austria","Konzert für Violoncello in h-Moll, op. 104",Dmitri Schostakowitsch;Peter Iljitsch Tschaikowsky;Antonín Dvořák;,cello,Seiji Ozawa;Mstislaw Rostropowitsch;
1998-10-07,1998,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 4, d-Moll",Robert Schumann;Niccolò Paganini;,violin,Riccardo Muti;Gidon Kremer;
1998-10-08,1998,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 4, d-Moll",Niccolò Paganini;Robert Schumann;,violin,Riccardo Muti;Gidon Kremer;
1999-01-29,1999,"Large Festival Hall, Salzburg, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Wolfgang Amadeus Mozart;,violin,Nikolaus Harnoncourt;Thomas Zehetmair;
2000-02-19,2000,"Musikverein, Vienna, Austria","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Anton von Webern;Ludwig van Beethoven;Richard Strauss;,violin,Giuseppe Sinopoli;Rainer Küchl;Volkhard Steude;Tamás Varga;Gottlieb Wallisch;Anton Holzapfel;
2000-02-20,2000,"Musikverein, Vienna, Austria","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Anton von Webern;Ludwig van Beethoven;Richard Strauss;,violin,Giuseppe Sinopoli;Gottlieb Wallisch;Anton Holzapfel;Rainer Küchl;Tamás Varga;Volkhard Steude;
2000-02-29,2000,"Palau De La Música Catalana, ","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Anton von Webern;Ludwig van Beethoven;Richard Strauss;Giuseppe Verdi;,violin,Giuseppe Sinopoli;Volkhard Steude;Gottlieb Wallisch;Tamás Varga;
2000-03-01,2000,"Teatro Guimerá Santa Cruz De Tenerife, ","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Anton von Webern;Ludwig van Beethoven;Richard Strauss;Giuseppe Verdi;,violin,Giuseppe Sinopoli;Volkhard Steude;Tamás Varga;Gottlieb Wallisch;
2000-03-02,2000,"Auditorio Alfredo Kraus, Gran Canaria, Spain","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Anton von Webern;Ludwig van Beethoven;Richard Strauss;Giuseppe Verdi;,violin,Giuseppe Sinopoli;Volkhard Steude;Gottlieb Wallisch;Tamás Varga;
2000-06-16,2000,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Carl Maria von Weber;Johannes Brahms;Robert Schumann;,violin,Roger Arthur Carver Norrington;Franz Bartolomey;Rainer Küchl;
2000-06-17,2000,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Carl Maria von Weber;Johannes Brahms;Robert Schumann;,violin,Roger Arthur Carver Norrington;Franz Bartolomey;Rainer Küchl;
2000-06-18,2000,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Carl Maria von Weber;Johannes Brahms;Robert Schumann;,violin,Roger Arthur Carver Norrington;Rainer Küchl;Franz Bartolomey;
2000-06-19,2000,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Carl Maria von Weber;Johannes Brahms;Robert Schumann;,violin,Roger Arthur Carver Norrington;Franz Bartolomey;Rainer Küchl;
2000-08-19,2000,"Musikverein, Vienna, Austria",Konzert für Viola,Sergej Prokofieff;Alfred Schnittke;Igor Strawinsky;,viola,Yuri Bashmet;Valery Gergiev;
2000-08-20,2000,"Musikverein, Vienna, Austria",Konzert für Viola,Sergej Prokofieff;Alfred Schnittke;Igor Strawinsky;,viola,Valery Gergiev;Yuri Bashmet;
2000-10-14,2000,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Ludwig van Beethoven;Antonín Dvořák;Richard Strauss;,violin,Mariss Jansons;Rainer Honeck;
2000-10-15,2000,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Ludwig van Beethoven;Antonín Dvořák;Richard Strauss;,violin,Mariss Jansons;Rainer Honeck;
2000-10-17,2000,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Ludwig van Beethoven;Antonín Dvořák;Richard Strauss;,violin,Mariss Jansons;Rainer Honeck;
2000-12-01,2000,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Ludwig van Beethoven;,violin,Sir Simon Rattle;Kyung-Wha Chung;
2001-04-16,2001,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 1] in B-Dur, KV 207",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;
2001-04-16,2001,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;
2001-04-16,2001,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Yuri Bashmet;Anne-Sophie Mutter;
2001-04-16,2001,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Yuri Bashmet;Anne-Sophie Mutter;
2001-05-01,2001,"Festspielhaus, Baden-Baden, Germany","Konzert für Violine [Nr. 1] in B-Dur, KV 207",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;
2001-05-01,2001,"Festspielhaus, Baden-Baden, Germany","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;
2001-05-02,2001,"Festspielhaus, Baden-Baden, Germany","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;Yuri Bashmet;
2001-05-02,2001,"Festspielhaus, Baden-Baden, Germany","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;Yuri Bashmet;
2001-05-04,2001,"Theater Festsaal, ","Konzert für Violine [Nr. 1] in B-Dur, KV 207",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;
2001-05-04,2001,"Theater Festsaal, ","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;
2001-05-04,2001,"Theater Festsaal, ","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;
2001-05-05,2001,"Kurhaus Wießbaden, ","Konzert für Violine [Nr. 1] in B-Dur, KV 207",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;
2001-05-05,2001,"Kurhaus Wießbaden, ","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;
2001-05-06,2001,"Kurhaus Wießbaden, ","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Yuri Bashmet;Anne-Sophie Mutter;
2001-05-06,2001,"Kurhaus Wießbaden, ","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Yuri Bashmet;Anne-Sophie Mutter;
2002-08-28,2002,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 1] in B-Dur, KV 207",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;
2002-08-28,2002,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;
2002-08-29,2002,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 1] in B-Dur, KV 207",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;
2002-08-29,2002,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Anne-Sophie Mutter;
2002-09-07,2002,"Lucerne Culture and Congress Centre, Lucerne, Switzerland","Concerto for Violin and Orchestra in D minor, op. 47",Richard Strauss;Jean Sibelius;Johannes Brahms;Johannes Brahms;,violin,Mariss Jansons;Patricia Kopatchinskaja;
2003-02-19,2003,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Alban Berg;Anton Bruckner;,violin,Nikolaus Harnoncourt;Gidon Kremer;
2003-02-26,2003,"Symphony Hall Chicago, ","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Alban Berg;Anton Bruckner;,violin,Nikolaus Harnoncourt;Gidon Kremer;
2003-03-05,2003,"Kimmel Center, ","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Alban Berg;Anton Bruckner;,violin,Nikolaus Harnoncourt;Gidon Kremer;
2003-03-07,2003,"Carnegie Hall, New York, USA","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Alban Berg;Anton Bruckner;,violin,Nikolaus Harnoncourt;Gidon Kremer;
2003-03-31,2003,"Seoul Arts Center, Seoul, Republic of Korea","Concerto for Violin in D Major, op. 77",Wolfgang Amadeus Mozart;Johannes Brahms;Gustav Mahler;Johann Strauß II.;,violin,Zubin Mehta;Sarah Chang;
2003-04-02,2003,"Tongyeong Arts Center, ","Concerto for Violin in D Major, op. 77",Otto Nicolai;Johannes Brahms;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Johann Strauß II.;,violin,Zubin Mehta;Sarah Chang;
2003-05-29,2003,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in E minor, op. 64",Ernst Toch;Felix Mendelssohn-Bartholdy;Anton Bruckner;,violin,Christoph Eschenbach;Maxim Vengerov;
2003-05-30,2003,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Ernst Toch;Felix Mendelssohn-Bartholdy;Anton Bruckner;,violin,Christoph Eschenbach;Maxim Vengerov;
2003-06-01,2003,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Ernst Toch;Felix Mendelssohn-Bartholdy;Anton Bruckner;,violin,Christoph Eschenbach;Maxim Vengerov;
2003-09-20,2003,"Musikverein, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Peter Iljitsch Tschaikowsky;Antonín Dvořák;,violin,André Previn;Anne-Sophie Mutter;
2003-09-21,2003,"Musikverein, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Peter Iljitsch Tschaikowsky;Antonín Dvořák;,violin,André Previn;Anne-Sophie Mutter;
2003-10-04,2003,"Musikverein, Vienna, Austria","Konzert für Violoncello in C-Dur, Hob. VIIb:1",Franz Schubert;Joseph Haydn;Antonín Dvořák;,cello,Seiji Ozawa;Mstislaw Rostropowitsch;
2003-10-04,2003,"Musikverein, Vienna, Austria","Konzert für Violoncello in h-Moll, op. 104",Franz Schubert;Joseph Haydn;Antonín Dvořák;,cello,Seiji Ozawa;Mstislaw Rostropowitsch;
2003-10-05,2003,"Musikverein, Vienna, Austria","Konzert für Violoncello in C-Dur, Hob. VIIb:1",Franz Schubert;Joseph Haydn;Antonín Dvořák;,cello,Seiji Ozawa;Mstislaw Rostropowitsch;
2003-10-05,2003,"Musikverein, Vienna, Austria","Konzert für Violoncello in h-Moll, op. 104",Franz Schubert;Joseph Haydn;Antonín Dvořák;,cello,Seiji Ozawa;Mstislaw Rostropowitsch;
2004-07-24,2004,"Large Festival Hall, Salzburg, Austria","Violin Concerto in D major, op. 35",Charles Ives;Erich Wolfgang Korngold;Antonín Dvořák;,violin,Seiji Ozawa;Benjamin Schmid;
2004-07-25,2004,"Large Festival Hall, Salzburg, Austria","Violin Concerto in D major, op. 35",Charles Ives;Erich Wolfgang Korngold;Antonín Dvořák;,violin,Seiji Ozawa;Benjamin Schmid;
2004-07-25,2004,"Large Festival Hall, Salzburg, Austria","Violin Concerto in D major, op. 35",Charles Ives;Erich Wolfgang Korngold;Antonín Dvořák;,violin,Seiji Ozawa;Benjamin Schmid;
2004-09-16,2004,"Town Hall Braunschweig, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Peter Schneider;Maxim Vengerov;
2005-06-19,2005,"Musikverein, Vienna, Austria","Konzert für Violoncello in h-Moll, op. 104",Joseph Haydn;Krzysztof Penderecki;Antonín Dvořák;,cello,Seiji Ozawa;Mstislaw Rostropowitsch;
2005-06-20,2005,"Musikverein, Vienna, Austria","Konzert für Violoncello in h-Moll, op. 104",Joseph Haydn;Krzysztof Penderecki;Antonín Dvořák;,cello,Seiji Ozawa;Mstislaw Rostropowitsch;
2005-06-24,2005,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Anton von Webern;Ludwig van Beethoven;Richard Strauss;,violin,Zubin Mehta;Rainer Keuschnig;Rainer Honeck;Maxim Vengerov;
2005-06-25,2005,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Anton von Webern;Ludwig van Beethoven;Richard Strauss;,violin,Zubin Mehta;Rainer Keuschnig;Rainer Honeck;Maxim Vengerov;
2006-04-20,2006,"Musikverein, Vienna, Austria","Konzert für Violine Nr.1 in a-Moll, op. 77",Dmitri Schostakowitsch;Wolfgang Amadeus Mozart;Dmitri Schostakowitsch;,violin,Valery Gergiev;Vadim Repin;Markus Schirmer;
2006-04-22,2006,"Musikverein, Vienna, Austria","Konzert für Violine Nr.1 in a-Moll, op. 77",Dmitri Schostakowitsch;Wolfgang Amadeus Mozart;Dmitri Schostakowitsch;,violin,Valery Gergiev;Vadim Repin;Markus Schirmer;
2006-04-23,2006,"Musikverein, Vienna, Austria","Konzert für Violine Nr.1 in a-Moll, op. 77",Dmitri Schostakowitsch;Wolfgang Amadeus Mozart;Dmitri Schostakowitsch;,violin,Valery Gergiev;Vadim Repin;Markus Schirmer;
2006-04-29,2006,"Musikverein, Vienna, Austria","Konzert für Violoncello und Orchester in a-Moll, op. 129",Wolfgang Amadeus Mozart;Robert Schumann;Robert Schumann;,cello,Christoph Eschenbach;Ildikó Raimondi;Tamás Varga;
2006-04-30,2006,"Musikverein, Vienna, Austria","Konzert für Violoncello und Orchester in a-Moll, op. 129",Wolfgang Amadeus Mozart;Robert Schumann;Robert Schumann;,cello,Christoph Eschenbach;Ildikó Raimondi;Tamás Varga;
2006-12-15,2006,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Dmitri Schostakowitsch;,violin,Valery Gergiev;Nikolaj Znaider;
2006-12-16,2006,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Dmitri Schostakowitsch;,violin,Valery Gergiev;Nikolaj Znaider;
2006-12-17,2006,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Dmitri Schostakowitsch;,violin,Valery Gergiev;Nikolaj Znaider;
2006-12-18,2006,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Dmitri Schostakowitsch;,violin,Valery Gergiev;Nikolaj Znaider;
2007-05-05,2007,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Alban Berg;Ludwig van Beethoven;,violin,Nikolaus Harnoncourt;Gidon Kremer;
2007-05-07,2007,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Alban Berg;Ludwig van Beethoven;,violin,Nikolaus Harnoncourt;Gidon Kremer;
2007-06-08,2007,"Musikverein, Vienna, Austria","Violin Concerto in D major, op. 35",Erich Wolfgang Korngold;Heinrich Ignaz Franz Biber;Peter Iljitsch Tschaikowsky;,violin,Seiji Ozawa;Benjamin Schmid;
2007-06-09,2007,"Musikverein, Vienna, Austria","Violin Concerto in D major, op. 35",Erich Wolfgang Korngold;Johann Sebastian Bach;Peter Iljitsch Tschaikowsky;,violin,Seiji Ozawa;Benjamin Schmid;
2007-06-10,2007,"Musikverein, Vienna, Austria","Violin Concerto in D major, op. 35",Erich Wolfgang Korngold;Johann Brandl;Peter Iljitsch Tschaikowsky;,violin,Seiji Ozawa;Benjamin Schmid;
2007-11-24,2007,"Vienna Konzerthaus, Vienna, Austria",Konzert für Violoncello und Orchester,Luciano Berio;Georg Friedrich Haas;Witold Lutosławski;,cello,Jonathan Nott;Truls Mork;Rainer Keuschnig;None;
2007-11-26,2007,"Vienna Konzerthaus, Vienna, Austria",Konzert für Violoncello und Orchester,Luciano Berio;Georg Friedrich Haas;Witold Lutosławski;,cello,Jonathan Nott;Rainer Keuschnig;Truls Mork;
2007-12-15,2007,"Musikverein, Vienna, Austria","Concerto for Violoncello in E minor, op. 85",Richard Wagner;Edward Elgar;Carl Nielsen;,cello,Sir Simon Rattle;Franz Bartolomey;
2007-12-16,2007,"Musikverein, Vienna, Austria","Concerto for Violoncello in E minor, op. 85",Richard Wagner;Edward Elgar;Carl Nielsen;,cello,Sir Simon Rattle;Franz Bartolomey;
2008-04-12,2008,"Musikverein, Vienna, Austria","Konzert für Viola und Orch. , op. posthum",Béla Bartók;Anton Bruckner;,viola,Riccardo Muti;Tobias Lea;
2008-04-13,2008,"Musikverein, Vienna, Austria","Konzert für Viola und Orch. , op. posthum",Béla Bartók;Anton Bruckner;,viola,Riccardo Muti;Tobias Lea;
2008-04-15,2008,"Musikverein, Vienna, Austria","Konzert für Viola und Orch. , op. posthum",Béla Bartók;Anton Bruckner;,viola,Riccardo Muti;Tobias Lea;
2008-09-08,2008,"Lucerne Culture and Congress Centre, Lucerne, Switzerland","Konzert für Viola und Orch. , op. posthum",Béla Bartók;Anton Bruckner;Giuseppe Martucci;,viola,Riccardo Muti;Antoine Tamestit;
2008-11-25,2008,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violine in d-Moll, WoO. 1",Ludwig van Beethoven;Robert Schumann;Ludwig van Beethoven;,violin,Christian Thielemann;Rainer Küchl;
2008-11-26,2008,"Festspielhaus St. Pölten, St. Pölten, Austria","Konzert für Violine in d-Moll, WoO. 1",Ludwig van Beethoven;Robert Schumann;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Christian Thielemann;Rainer Küchl;
2008-11-29,2008,"Musikverein, Vienna, Austria","Konzert für Violine in d-Moll, WoO. 1",Ludwig van Beethoven;Robert Schumann;Ludwig van Beethoven;,violin,Christian Thielemann;Rainer Küchl;
2008-11-30,2008,"Musikverein, Vienna, Austria","Konzert für Violine in d-Moll, WoO. 1",Ludwig van Beethoven;Robert Schumann;Ludwig van Beethoven;,violin,Christian Thielemann;Rainer Küchl;
2009-04-18,2009,"Musikverein, Vienna, Austria",Konzert für Violine und Orchester,Joseph Haydn;György Ligeti;Joseph Haydn;,violin,Sir Simon Rattle;Frank Peter Zimmermann;
2009-04-19,2009,"Musikverein, Vienna, Austria",Konzert für Violine und Orchester,Joseph Haydn;György Ligeti;Joseph Haydn;,violin,Sir Simon Rattle;Frank Peter Zimmermann;
2009-05-09,2009,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violoncello in C-Dur, Hob. VIIb:1",Joseph Haydn;Joseph Haydn;Joseph Haydn;,cello,Nikolaus Harnoncourt;Clemens Hagen;
2009-05-10,2009,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violoncello in C-Dur, Hob. VIIb:1",Joseph Haydn;Joseph Haydn;Joseph Haydn;,cello,Nikolaus Harnoncourt;Clemens Hagen;
2009-08-21,2009,"Large Festival Hall, Salzburg, Austria","Konzert für Violoncello und Orchester in a-Moll, op. 129",Robert Schumann;Anton Bruckner;,cello,Franz Welser-Moest;Clemens Hagen;
2009-08-22,2009,"Large Festival Hall, Salzburg, Austria","Konzert für Violoncello und Orchester in a-Moll, op. 129",Robert Schumann;Anton Bruckner;,cello,Franz Welser-Moest;Clemens Hagen;
2010-05-28,2010,"Musikverein, Vienna, Austria","Concerto for Violin in B minor, op. 61",Henri Dutilleux;Edward Elgar;Sergej Prokofieff;,violin,Valery Gergiev;Nikolaj Znaider;
2010-05-29,2010,"Musikverein, Vienna, Austria","Concerto for Violin in B minor, op. 61",Henri Dutilleux;Edward Elgar;Sergej Prokofieff;,violin,Valery Gergiev;Nikolaj Znaider;
2010-05-30,2010,"Musikverein, Vienna, Austria","Concerto for Violin in B minor, op. 61",Henri Dutilleux;Edward Elgar;Sergej Prokofieff;,violin,Valery Gergiev;Nikolaj Znaider;
2010-05-31,2010,"Musikverein, Vienna, Austria","Concerto for Violin in B minor, op. 61",Henri Dutilleux;Edward Elgar;Sergej Prokofieff;,violin,Valery Gergiev;Nikolaj Znaider;
2010-09-17,2010,"Lucerne Culture and Congress Centre, Lucerne, Switzerland","Konzert für Violoncello und Orchester in a-Moll, op. 129",Johannes Brahms;Robert Schumann;Johann Sebastian Bach;Antonín Dvořák;,cello,Gustavo Dudamel;Nicolas Altstaedt;Nicolas Altstaedt;
2010-10-03,2010,"Carnegie Hall, New York, USA","Konzert für Violoncello und Orchester in a-Moll, op. 129",Johannes Brahms;Robert Schumann;Johann Sebastian Bach;Antonín Dvořák;Leonard Bernstein;,cello,Gustavo Dudamel;Yo Yo Ma;
2011-01-26,2011,"Large Festival Hall, Salzburg, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Alban Berg;Wolfgang Amadeus Mozart;,violin,Herbert Blomstedt;Christian Tetzlaff;
2011-05-21,2011,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Alban Berg;Ludwig van Beethoven;,violin,Daniele Gatti;Rainer Honeck;
